code_pac,lbl_cultu,code_cpf_bio,libelle_code_cpf_bio,code_grp_cultu,grp_cultu,
CUM,Cumin,01.28.14.9,"Cumin, carvi et genièvre, bruts",24,Autres cultures industrielles,
CUR,Curcuma,01.28.19.51,Curcuma,24,Autres cultures industrielles,
CZH,Colza d’hiver,01.11.93,Colza,5,Colza,
CZP,Colza de printemps,01.11.93,Colza,5,Colza,
DOL,Dolique,01.11.76,"Dolique à œil noir (pois du brésil, niébé)",25,Légumes ou fleurs,
DTY,Dactyle de 5 ans ou moins,01.19.10.11,Prairie temporaire,16,Fourrage,
EPE,Épeautre,01.11.49.1,Epeautre,4,Autres céréales,
EPI,Épinard,01.13.16,Épinards,25,Légumes ou fleurs,
EST,Estragon,01.28.19.45,Estragon,24,Autres cultures industrielles,
FAG,Autre fourrage annuel d’un autre genre,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FET,Fétuque de 5 ans ou moins,01.19.10.11,Prairie temporaire,16,Fourrage,
FEV,Fève,01.11.72,"Fèves, sèches (yc féveroles)",8,Protéagineux,
FF5,Féverole fourragère implantée pour la récolte 2015,01.11.72,"Fèves, sèches (yc féveroles)",16,Fourrage,
FF6,Féverole fourragère implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FF7,Féverole fourragère implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FF8,Féverole fourragère implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FFO,Autre féverole fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FLA,Autre légume ou fruit annuel,01.19,Autres cultures non permanentes,25,Légumes ou fleurs,
FLO,Fléole de 5 ans ou moins,01.19.10.11,Prairie temporaire,16,Fourrage,
FLP,Autre légume ou fruit pérenne,01.29,Autres cultures permanentes,25,Légumes ou fleurs,
FNO,Fenouil,01.28.14.2,Fenouil doux et amer,24,Autres cultures industrielles,
FNU,Fenugrec,01.28.19.41,Fenugrec,24,Autres cultures industrielles,
FRA,Fraise,01.25.13,Fraises,25,Légumes ou fleurs,
FSG,Autre plante fourragère sarclée d’un autre genre,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FVL,Féverole semée avant le 31/05,01.11.72,"Fèves, sèches (yc féveroles)",8,Protéagineux,
FVT,Féverole semée tardivement (après le 31/05),01.11.72,"Fèves, sèches (yc féveroles)",8,Protéagineux,
GAI,Gaillet,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",16,Fourrage,
GER,Géranium,01.28.30.36,Géranium,25,Légumes ou fleurs,
GES,Gesse,01.11.79.9,Autres légumes secs,16,Fourrage,
GFP,Autre graminée fourragère pure de 5 ans ou moins,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
HAR,Haricot / Flageolet,01.11.71,"Haricots, secs",25,Légumes ou fleurs,
HBL,Houblon,01.28.2,Houblon en cônes,24,Autres cultures industrielles,
HPC,Horticulture ornementale de plein champ,01.19.21,Fleurs coupées et boutons de fleurs,25,Légumes ou fleurs,
HSA,Horticulture ornementale sous abri,01.19.21,Fleurs coupées et boutons de fleurs,25,Légumes ou fleurs,
J5M,Jachère de 5 ans ou moins,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
J6P,Jachère de 6 ans ou plus,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
J6S,Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
JNO,Jachère noire,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
JO5,Jarosse implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JO6,Jarosse implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JO7,Jarosse implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JO8,Jarosse implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JOD,Jarosse déshydratée,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JOS,Autre jarosse,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LAV,Lavande / Lavandin,01.28.30.10,"Lavande, lavandin",24,Autres cultures industrielles,
LBF,Laitue / Batavia / Feuille de chêne,01.13.19.8,Salades,25,Légumes ou fleurs,
LDH,Lupin doux d’hiver,01.11.79.1,Lupin,8,Protéagineux,
LDP,Lupin doux de printemps semé avant le 31/05,01.11.79.1,Lupin,8,Protéagineux,
LDT,Lupin doux de printemps semé tardivement (après le 31/05),01.11.79.1,Lupin,8,Protéagineux,
LEC,Lentille cultivée (non fourragère),01.11.74,"Lentilles, sèches",15,Légumineuses à grains,
LEF,Lentille fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LFH,Autre lupin fourrager d’hiver,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LFP,Autre lupin fourrager de printemps,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH5,Lupin fourrager d’hiver implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH6,Lupin fourrager d’hiver implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH7,Lupin fourrager d’hiver implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH8,Lupin fourrager d'hiver implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LIF,Lin fibres,01.16.19.1,Lin fibre,9,Plantes à fibres,
LIH,Lin non textile d’hiver,01.11.91,Lin (graines),7,Autres oléagineux,
LIP,Lin non textile de printemps,01.11.91,Lin (graines),7,Autres oléagineux,
LO7,Lotier implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LO8,Lotier implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LOT,Lotier,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP5,Lupin fourrager de printemps implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP6,Lupin fourrager de printemps implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP7,Lupin fourrager de printemps implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP8,Lupin fourrager de printemps implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
